practice_id,cont_week,cases,sinwe,coswe,population,uk_imdquintile
26,42,2,-0.9350162426854148,0.35460488704253557,5297,3
26,44,1,-0.822983865893657,0.5680647467311548,5297,3
26,47,2,-0.5680647467311559,0.8229838658936564,5297,3
26,49,1,-0.35460488704253595,0.9350162426854147,5297,3
26,53,2,0.12053668025532314,0.992708874098054,5297,3
26,54,1,0.23931566428755732,0.9709418174260521,5297,3
26,56,1,0.46472317204376795,0.8854560256532102,5297,3
26,57,2,0.5680647467311555,0.8229838658936566,5297,3
26,60,1,0.8229838658936558,0.5680647467311567,5297,3
26,61,1,0.8854560256532099,0.46472317204376845,5297,3
26,64,2,0.9927088740980539,0.12053668025532369,5297,3
26,65,2,1,3.061515884555943e-16,5297,3
26,66,1,0.992708874098054,-0.12053668025532309,5297,3
26,68,2,0.9350162426854148,-0.35460488704253545,5297,3
26,72,1,0.6631226582407956,-0.7485107481711006,5297,3
26,73,1,0.5680647467311568,-0.8229838658936557,5297,3
26,75,1,0.35460488704253607,-0.9350162426854146,5297,3
26,76,1,0.23931566428755877,-0.9709418174260518,5297,3
26,77,1,0.12053668025532287,-0.992708874098054,5297,3
26,78,1,3.673819061467132e-16,-1,5297,3
26,82,2,-0.46472317204376784,-0.8854560256532102,5297,3
26,85,4,-0.7485107481711006,-0.6631226582407957,5297,3
26,86,1,-0.8229838658936557,-0.5680647467311568,5297,3
27,19,1,0.7485107481711013,-0.663122658240795,8400,2
27,20,4,0.6631226582407952,-0.7485107481711012,8400,2
27,21,2,0.5680647467311558,-0.8229838658936564,8400,2
27,22,2,0.46472317204376906,-0.8854560256532096,8400,2
27,25,1,0.12053668025532308,-0.992708874098054,8400,2
27,26,2,-3.216285744678249e-16,-1,8400,2
27,28,1,-0.23931566428755743,-0.9709418174260521,8400,2
27,29,1,-0.3546048870425356,-0.9350162426854148,8400,2
27,30,2,-0.46472317204376806,-0.8854560256532101,8400,2
27,31,1,-0.5680647467311556,-0.8229838658936565,8400,2
27,38,2,-0.992708874098054,-0.12053668025532357,8400,2
27,40,2,-0.992708874098054,0.1205366802553232,8400,2
27,41,1,-0.9709418174260521,0.23931566428755738,8400,2
27,42,3,-0.9350162426854148,0.35460488704253557,8400,2
27,43,1,-0.8854560256532101,0.464723172043768,8400,2
27,44,3,-0.822983865893657,0.5680647467311548,8400,2
27,46,1,-0.6631226582407955,0.7485107481711007,8400,2
27,47,3,-0.5680647467311559,0.8229838658936564,8400,2
27,48,2,-0.4647231720437684,0.88545602565321,8400,2
27,49,1,-0.35460488704253595,0.9350162426854147,8400,2
27,50,4,-0.2393156642875578,0.970941817426052,8400,2
27,56,1,0.46472317204376795,0.8854560256532102,8400,2
27,57,1,0.5680647467311555,0.8229838658936566,8400,2
27,59,1,0.7485107481711007,0.6631226582407956,8400,2
27,60,1,0.8229838658936558,0.5680647467311567,8400,2
27,62,3,0.9350162426854147,0.354604887042536,8400,2
27,63,1,0.970941817426052,0.23931566428755785,8400,2
27,64,2,0.9927088740980539,0.12053668025532369,8400,2
27,65,2,1,3.061515884555943e-16,8400,2
27,66,3,0.992708874098054,-0.12053668025532309,8400,2
27,69,2,0.8854560256532102,-0.4647231720437679,8400,2
27,71,3,0.7485107481711012,-0.6631226582407952,8400,2
27,72,2,0.6631226582407956,-0.7485107481711006,8400,2
27,73,2,0.5680647467311568,-0.8229838658936557,8400,2
27,75,1,0.35460488704253607,-0.9350162426854146,8400,2
27,76,1,0.23931566428755877,-0.9709418174260518,8400,2
27,77,2,0.12053668025532287,-0.992708874098054,8400,2
27,78,1,3.673819061467132e-16,-1,8400,2
27,79,1,-0.12053668025532391,-0.9927088740980539,8400,2
27,80,1,-0.23931566428755807,-0.9709418174260519,8400,2
27,81,1,-0.3546048870425354,-0.93501624268541494,8400,2
27,82,2,-0.46472317204376784,-0.8854560256532102,8400,2
27,84,1,-0.6631226582407951,-0.7485107481711012,8400,2
27,85,1,-0.7485107481711006,-0.6631226582407957,8400,2
27,86,2,-0.8229838658936557,-0.5680647467311568,8400,2
27,87,1,-0.885456025653209,-0.4647231720437701,8400,2
29,7,1,0.7485107481711011,0.6631226582407953,18270,3
29,18,1,0.8229838658936565,-0.5680647467311557,18270,3
29,19,2,0.7485107481711013,-0.663122658240795,18270,3
29,21,1,0.5680647467311558,-0.8229838658936564,18270,3
29,22,1,0.46472317204376906,-0.8854560256532096,18270,3
29,23,2,0.35460488704253584,-0.9350162426854147,18270,3
29,24,3,0.23931566428755768,-0.970941817426052,18270,3
29,25,2,0.12053668025532308,-0.992708874098054,18270,3
29,26,1,-3.216285744678249e-16,-1,18270,3
29,27,1,-0.12053668025532283,-0.992708874098054,18270,3
29,28,2,-0.23931566428755743,-0.9709418174260521,18270,3
29,29,2,-0.3546048870425356,-0.9350162426854148,18270,3
29,30,2,-0.46472317204376806,-0.8854560256532101,18270,3
29,31,2,-0.5680647467311556,-0.8229838658936565,18270,3
29,32,2,-0.663122658240795,-0.7485107481711013,18270,3
29,34,1,-0.8229838658936564,-0.5680647467311559,18270,3
29,35,2,-0.8854560256532096,-0.4647231720437691,18270,3
29,36,3,-0.9350162426854147,-0.3546048870425359,18270,3
29,37,3,-0.970941817426052,-0.23931566428755774,18270,3
29,38,3,-0.992708874098054,-0.12053668025532357,18270,3
29,39,2,-1,-1.836909530733566e-16,18270,3
29,40,2,-0.992708874098054,0.1205366802553232,18270,3
29,41,3,-0.9709418174260521,0.23931566428755738,18270,3
29,42,3,-0.9350162426854148,0.35460488704253557,18270,3
29,43,2,-0.8854560256532101,0.464723172043768,18270,3
29,44,2,-0.822983865893657,0.5680647467311548,18270,3
29,45,3,-0.7485107481711011,0.6631226582407952,18270,3
29,46,4,-0.6631226582407955,0.7485107481711007,18270,3
29,47,2,-0.5680647467311559,0.8229838658936564,18270,3
29,48,2,-0.4647231720437684,0.88545602565321,18270,3
29,49,4,-0.35460488704253595,0.9350162426854147,18270,3
29,50,3,-0.2393156642875578,0.970941817426052,18270,3
29,51,4,-0.12053668025532363,0.992708874098054,18270,3
29,53,1,0.12053668025532314,0.992708874098054,18270,3
29,54,3,0.23931566428755732,0.9709418174260521,18270,3
29,55,4,0.3546048870425355,0.9350162426854148,18270,3
29,56,3,0.46472317204376795,0.8854560256532102,18270,3
29,57,4,0.5680647467311555,0.8229838658936566,18270,3
29,58,3,0.6631226582407952,0.7485107481711011,18270,3
29,59,5,0.7485107481711007,0.6631226582407956,18270,3
29,60,1,0.8229838658936558,0.5680647467311567,18270,3
29,61,3,0.8854560256532099,0.46472317204376845,18270,3
29,62,2,0.9350162426854147,0.354604887042536,18270,3
29,63,3,0.970941817426052,0.23931566428755785,18270,3
29,64,3,0.9927088740980539,0.12053668025532369,18270,3
29,65,4,1,3.061515884555943e-16,18270,3
29,66,3,0.992708874098054,-0.12053668025532309,18270,3
29,67,3,0.9709418174260519,-0.23931566428755813,18270,3
29,68,2,0.9350162426854148,-0.35460488704253545,18270,3
29,69,1,0.8854560256532102,-0.4647231720437679,18270,3
29,70,1,0.8229838658936571,-0.5680647467311547,18270,3
29,72,2,0.6631226582407956,-0.7485107481711006,18270,3
29,73,2,0.5680647467311568,-0.8229838658936557,18270,3
29,74,4,0.4647231720437685,-0.8854560256532099,18270,3
29,75,2,0.35460488704253607,-0.9350162426854146,18270,3
29,76,4,0.23931566428755877,-0.9709418174260518,18270,3
29,77,2,0.12053668025532287,-0.992708874098054,18270,3
29,78,1,3.673819061467132e-16,-1,18270,3
29,79,2,-0.12053668025532391,-0.9927088740980539,18270,3
29,80,2,-0.23931566428755807,-0.9709418174260519,18270,3
29,81,3,-0.3546048870425354,-0.93501624268541494,18270,3
29,82,3,-0.46472317204376784,-0.8854560256532102,18270,3
29,83,1,-0.5680647467311561,-0.8229838658936561,18270,3
29,85,1,-0.7485107481711006,-0.6631226582407957,18270,3
29,86,1,-0.8229838658936557,-0.5680647467311568,18270,3
29,87,1,-0.885456025653209,-0.4647231720437701,18270,3
32,25,1,0.12053668025532308,-0.992708874098054,1844,4
32,31,1,-0.5680647467311556,-0.8229838658936565,1844,4
32,35,1,-0.8854560256532096,-0.4647231720437691,1844,4
32,36,1,-0.9350162426854147,-0.3546048870425359,1844,4
32,37,1,-0.970941817426052,-0.23931566428755774,1844,4
32,38,1,-0.992708874098054,-0.12053668025532357,1844,4
32,44,1,-0.822983865893657,0.5680647467311548,1844,4
32,45,1,-0.7485107481711011,0.6631226582407952,1844,4
32,46,1,-0.6631226582407955,0.7485107481711007,1844,4
32,47,1,-0.5680647467311559,0.8229838658936564,1844,4
32,58,1,0.6631226582407952,0.7485107481711011,1844,4
32,66,1,0.992708874098054,-0.12053668025532309,1844,4
32,69,2,0.8854560256532102,-0.4647231720437679,1844,4
32,70,1,0.8229838658936571,-0.5680647467311547,1844,4
32,72,1,0.6631226582407956,-0.7485107481711006,1844,4
32,75,1,0.35460488704253607,-0.9350162426854146,1844,4
32,78,1,3.673819061467132e-16,-1,1844,4
32,80,1,-0.23931566428755807,-0.9709418174260519,1844,4
32,83,1,-0.5680647467311561,-0.8229838658936561,1844,4
32,86,1,-0.8229838658936557,-0.5680647467311568,1844,4
33,17,1,0.8854560256532099,-0.4647231720437685,12010,2
33,19,1,0.7485107481711013,-0.663122658240795,12010,2
33,20,1,0.6631226582407952,-0.7485107481711012,12010,2
33,21,2,0.5680647467311558,-0.8229838658936564,12010,2
33,22,2,0.46472317204376906,-0.8854560256532096,12010,2
33,23,1,0.35460488704253584,-0.9350162426854147,12010,2
33,25,3,0.12053668025532308,-0.992708874098054,12010,2
33,30,1,-0.46472317204376806,-0.8854560256532101,12010,2
33,31,2,-0.5680647467311556,-0.8229838658936565,12010,2
33,32,1,-0.663122658240795,-0.7485107481711013,12010,2
33,33,1,-0.7485107481711011,-0.6631226582407952,12010,2
33,34,2,-0.8229838658936564,-0.5680647467311559,12010,2
33,36,1,-0.9350162426854147,-0.3546048870425359,12010,2
33,37,1,-0.970941817426052,-0.23931566428755774,12010,2
33,41,2,-0.9709418174260521,0.23931566428755738,12010,2
33,42,2,-0.9350162426854148,0.35460488704253557,12010,2
33,43,1,-0.8854560256532101,0.464723172043768,12010,2
33,44,2,-0.822983865893657,0.5680647467311548,12010,2
